Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,16044000000.0,0,1997 Q1
1997,Q2,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,16824000000.0,0,1997 Q2
1997,Q3,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,17499000000.0,0,1997 Q3
1997,Q4,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,18341000000.0,0,1997 Q4
1998,Q1,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,17802000000.0,0,1998 Q1
1998,Q2,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,18779000000.0,0,1998 Q2
1998,Q3,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,19065000000.0,0,1998 Q3
1998,Q4,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,19606000000.0,0,1998 Q4
1999,Q1,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20283000000.0,0,1999 Q1
1999,Q2,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,19749000000.0,0,1999 Q2
1999,Q3,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,18481000000.0,0,1999 Q3
1999,Q4,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20695000000.0,0,1999 Q4
2000,Q1,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,21184000000.0,0,2000 Q1
2000,Q2,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20690000000.0,0,2000 Q2
2000,Q3,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20706000000.0,0,2000 Q3
2000,Q4,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,21216000000.0,0,2000 Q4
2001,Q1,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20799000000.0,0,2001 Q1
2001,Q2,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20967000000.0,0,2001 Q2
2001,Q3,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,21423000000.0,0,2001 Q3
2001,Q4,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,20794000000.0,0,2001 Q4
2002,Q1,Miscellaneousgoodsandservices,12,ADII,12CN,https://www.ons.gov.uk/search?q=ADII,19929000000.0,0,2002 Q1
